SAMPLE,FILE,HTSEQ_FILE,GROUP
CONTROL_1,AJC3-1_S1_LALL_R1_001,AJC3-1_S1_LALL_R1_001.txt,AOM_DSS
CONTROL_2,AJC3-2_S2_LALL_R1_001,AJC3-2_S2_LALL_R1_001.txt,AOM_DSS
CONTROL_3,AJC3-4_S3_LALL_R1_001,AJC3-4_S3_LALL_R1_001.txt,AOM_DSS
CONTROL_4,AJC3-5_S4_LALL_R1_001,AJC3-5_S4_LALL_R1_001.txt,AOM_DSS
GAL1KO_1,AJC3-6_S5_LALL_R1_001,AJC3-6_S5_LALL_R1_001.txt,LGALS1_KO
GAL1KO_2,AJC3-7_S6_LALL_R1_001,AJC3-7_S6_LALL_R1_001.txt,LGALS1_KO
GAL1KO_3,AJC3-8_S7_LALL_R1_001,AJC3-8_S7_LALL_R1_001.txt,LGALS1_KO
GAL1KO_4,AJC3-9_S8_LALL_R1_001,AJC3-9_S8_LALL_R1_001.txt,LGALS1_KO
GAL1KO_5,AJC3-10_S9_LALL_R1_001,AJC3-10_S9_LALL_R1_001.txt,LGALS1_KO
GAL1KO_6,AJC3-11_S10_LALL_R1_001,AJC3-11_S10_LALL_R1_001.txt,LGALS1_KO